class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,157654,0,0,0,0,0,0,0,0,253310,4341764,4352090,728330,22720,1512,4391398,0,0,0,3538,5738,9096724,8292460,1068692,623076,0,0,0,0,0,0,0,0,0,0,0,316980,3954850,3180454,2247442,0,5932,2374,5436,232780,5815608,3635724,1872,0,0,0,2586630,3162422,963886,524098,366122,300962,453030,1328858,13718,0,10170612,0,0,0,0,4391398,80262,605470,457800,114060,107420,115920,49760,157653.32,10170612,10170612,10170878,62754,0,37342,474640,9699726,1209600,0,0,0,0,8990715.84,0,701710.08,0,0,0,0,16804,1392348,4234490,3306052,689008,52216,8180,628,0,0,10170612,12454,1604,28996,422532,837118,6786418,1575706,34834,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45904,0,0,0,0,0,0,0,0,0,0,0,0,0,3403.76,4070,750194,1633824,1597702,782462,1494968,2030170,593904,322886,473750,19866,0,0
neg,31022,208,132,0,0,0,0,20502,370508,1632784,581142,231274,43204,0,0,,,,,,,,2126190,,115688,0,,,,1582,536,0,0,0,0,0,0,0,722048,2157366,0,39992,15530,16322,29356,697812,2080386,16,0,0,0,1102280,684988,331366,257020,138958,91032,69396,74644,100444,29286,,1910,2196,760,4,,,241010,502574,289160,305040,,147800,31021.99,,,3026210,17135,4708,57994,591760,2879414,1209600,57560,0,84,0,1818379.2,729884.16,328162.56,724,1024,830,89380,642378,1772384,340662,29918,3206,628,28,0,56,74,,1846,256,393982,633990,1664414,184692,234,0,0,0,198,1628,1641158,542506,0,296,0,0,1844334,2394,530,0,0,4330,738844,0,0,0,0,,10920,1578,0,0,76538,10436,731980,89074,0,0,0,0,1139630,468.44,608,1073322,392480,230974,113322,275654,658640,115424,17988,1610,0,0,0
neg,30772,480,456,0,0,0,0,0,0,372,215020,1280246,640388,61314,2748,866526,4006,0,0,0,0,1890686,1582706,439074,250458,0,0,0,0,1630,404,0,0,0,0,0,0,1488640,711448,0,0,2524,15408,13388,141332,1630308,397108,20,0,0,0,957176,416150,162252,110574,82204,70138,127576,274018,0,0,2330382,150,300,1286,152,866526,27324,206520,230594,229200,,,204680,30772.8,2330382,2330382,2329324,13988,818,108292,1113340,2200088,1209600,57700,2,146,0,1723960.32,0,474168,0,0,0,0,0,4276,532334,1050562,562112,45684,4916,204,36,52,2330382,4036,522,33148,281680,152120,1516656,197834,14008,84,0,608,1142,1761046,81782,0,42,0,56,1774708,1790,514,0,0,0,0,0,0,0,0,16684,14084,5012,0,0,79846,15832,82100,9134,0,0,0,0,772820,1108.96,1154,493106,290484,160076,103896,456594,500178,149540,42624,3570,20,0,0
neg,34,10,10,0,0,0,0,0,0,110,0,7142,4512,0,0,4396,0,882,0,0,0,23590,19542,5466,1314,0,0,0,0,36,8,0,0,0,0,0,0,11764,0,0,0,122,56,100,58,2934,8494,0,0,0,0,10552,816,226,82,44,26,16,2,0,0,29070,2,12,2,0,4396,280,2382,3060,,,,5260,33.96,29070,29070,32516,19,12,2486,28860,11764,1209600,752,0,0,0,5416.32,0,6287.04,0,0,0,0,0,0,6024,5388,352,0,0,0,2,6,29070,170,14,36,384,432,5600,3864,1196,68,0,16,12,4762,26,52,8,0,0,5998,78,42,0,0,0,0,0,0,0,0,206,8,2,0,0,294,86,1080,188,0,0,0,0,0,92.9,48,7024,3886,666,40,72,46,8,4,18,0,0,0
neg,34,2,2,0,0,0,0,0,90,11738,5294,2966,0,0,0,6468,0,0,0,2576,4852,28320,26084,20414,922,0,0,0,0,16,30,0,0,0,0,0,0,0,12418,7670,0,1458,74,106,256,5120,13074,0,0,0,0,16998,1838,396,206,48,176,76,302,22,26,51360,4,2,12,0,6468,442,15278,5102,,,,20000,33.77,51360,51360,56504,36,76,4894,50880,20088,1209600,648,2,4,0,5108.16,0,13600.32,2,24,0,208,8106,7878,2678,894,324,0,0,0,0,6,51360,1412,24,72,642,1554,12070,4146,168,0,0,2,52,4270,910,0,0,0,0,5920,96,74,0,0,0,0,0,0,0,0,434,0,0,148,74,164,40,1220,386,29248,14,0,0,0,184.92,96,15460,3492,130,38,888,28,20,32,0,0,0,0
neg,41568,134,130,0,0,0,0,0,0,4138,815146,1639034,379696,20808,2168,1282466,0,0,0,0,0,2556414,2209600,475388,304862,0,0,0,0,270,276,0,0,0,0,0,10388,914584,1447680,488334,0,1474,368,594,70094,1710932,1074426,3098,0,0,0,1045234,623660,237062,188300,168098,171988,246126,180414,104,0,3032266,302,76,322,2,1282466,34902,257370,213742,175900,192560,,101040,41567.03,3032266,3032266,3039008,18467,5194,58488,607640,2861006,1209600,81536,0,92,0,2431954.56,0,427175.04,0,0,0,0,0,148828,1067794,1350810,275826,14164,3450,114,2,10,3032266,3646,462,81062,170516,154952,2053116,386872,10044,316,0,214,1020,2236486,43196,0,11574,0,58,2453372,1652,150,0,0,0,0,0,0,0,0,18590,34952,6148,0,0,83442,11484,529820,65502,0,0,0,0,2625140,968.24,1014,446802,516378,386980,189510,402532,479966,260206,86352,87782,4480,0,0
neg,38614,360,286,0,0,0,0,0,0,172,215158,1988458,675250,26160,0,1160536,0,0,0,0,0,2680440,2372282,459754,243156,0,0,0,0,300,366,0,0,0,0,0,40644,1270606,1103006,490938,0,1610,580,1034,35580,2186288,679340,762,0,0,0,1186038,502530,298180,252690,303850,317042,44862,0,0,0,3140760,0,438,384,0,1160536,31502,278562,178990,168340,187320,,98400,38614.09,3140760,3140760,3147728,17295,2282,68732,714600,2905210,1209600,91098,4,118,0,2302996.8,0,599694.72,0,0,0,0,0,14902,517918,1692288,638820,34252,6106,908,2,10,3140760,4152,520,110620,257994,140934,1875804,505106,9990,72,0,304,476,2171148,2968,0,6,0,12,2330276,1758,304,0,0,0,0,0,0,0,0,17698,27928,16460,0,0,62298,11768,9335720,976144,0,0,0,0,0,924.14,1146,619332,512686,370750,181534,426580,348224,368114,77660,314,0,0,0
neg,39682,176,162,0,0,0,0,0,0,42596,731094,1162684,376446,12492,364,1084112,0,0,0,0,0,2056280,1761348,500086,256042,0,0,0,0,280,108,0,0,0,0,0,76872,820646,1112360,315798,0,2052,1104,2436,39446,1503578,776024,1036,0,0,0,666064,558282,212170,166346,139672,150424,393480,39238,0,0,2556756,134,532,174,2,1084112,33864,336328,162716,226980,207440,,61420,39681.56,2556756,2556756,2558706,17079,22932,10830,132900,2325676,1209600,64796,0,46,0,2049282.24,0,274787.52,0,0,0,0,170,309860,821190,1005416,175542,11274,2156,68,4,8,2556756,3162,450,39258,123970,81710,988492,1062492,25928,214,0,262,252,1575372,92100,0,4772,0,40,2067634,1640,136,0,0,0,0,0,0,0,0,17924,30588,6708,0,0,81570,14698,862300,273024,0,0,0,0,714540,977.5,1008,291340,356994,270498,124632,238118,229938,161486,150866,449514,52290,0,0
neg,330,40,38,0,0,0,0,0,0,80,0,16618,18014,0,0,12010,0,0,0,0,0,32006,24264,21822,3716,0,0,0,0,84,32,0,0,0,0,0,0,33062,1650,0,0,114,48,100,86,18440,15922,2,0,0,0,24284,8490,1614,204,86,30,4,0,0,0,53902,6,82,20,0,12010,516,13936,7718,,,,21440,329.04,53902,53902,54710,85,0,5124,53440,34712,1209600,1256,2,6,0,20211.84,19.2,14376,0,0,0,0,0,0,2482,29324,2664,214,28,0,0,6,53902,250,32,166,1838,1296,9814,20458,766,92,0,66,164,21854,10616,0,2,0,28,21894,136,36,0,0,0,64,0,0,0,0,434,30,30,0,0,640,154,134900,13588,13630,30,0,0,0,80.54,86,15064,5080,1542,570,1396,11052,8,0,0,0,0,0
neg,39232,494,,0,0,0,0,0,0,59050,491842,1325700,422518,12482,374,1157334,0,164,0,0,0,2134944,1950072,256494,148978,0,0,0,0,924,86,0,0,0,0,0,199018,1129332,729474,254142,0,4450,490,544,368,616,2295472,10026,0,0,0,704032,570838,209252,151572,123222,125080,362220,65750,0,0,2391816,0,808,150,144,1157334,29312,133098,122344,144660,,,107520,39232.78,2391816,2391816,2400588,12161,230838,115774,1177700,2311966,1209600,0,,,,2037521.28,0,268967.04,0,274,0,0,10768,211090,714536,928080,413818,28092,5008,574,,0,2391816,6180,362,1968,187236,91720,1494786,525848,3866,0,0,,,,,,,,,,1736,104,0,0,0,0,0,0,0,0,13312,23936,5638,0,0,111516,18628,2777440,426478,0,0,0,0,1661730,720.74,906,286656,348940,255592,132288,249998,247558,199984,175740,385912,29298,0,0
